         55355368 function calls (55275794 primitive calls) in 29.405 seconds

   Ordered by: internal time
   List reduced from 1383 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    2.021    0.674    4.993    1.664 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:14731(_power_plan)
      556    1.942    0.003    2.948    0.005 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:7759(_astar)
   157215    1.402    0.000    2.623    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1782(_replace)
       12    0.781    0.065    1.958    0.163 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/colliders.py:1742(_belt_overlap_candidates)
     1600    0.546    0.000    1.289    0.001 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:705(_projected_power_candidates)
   172258    0.525    0.000    1.005    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:13500(_projected_power_peer_possible)
  3705759    0.508    0.000    0.508    0.000 {built-in method builtins.getattr}
316661/315367    0.462    0.000    0.899    0.000 {built-in method builtins.min}
   333422    0.458    0.000    0.699    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/colliders.py:1418(sphere_box_overlap)
     3167    0.394    0.000    0.809    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/colliders.py:1064(collisions)
  2829207    0.384    0.000    0.384    0.000 {method 'append' of 'list' objects}
  2226991    0.370    0.000    0.463    0.000 {method 'get' of 'dict' objects}
  1342380    0.326    0.000    0.485    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:17088(<lambda>)
       15    0.325    0.022    0.411    0.027 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:7243(_sweep)
350116/347125    0.322    0.000    0.510    0.000 {built-in method builtins.max}
  2322864    0.291    0.000    0.291    0.000 {built-in method time.monotonic}
   977944    0.287    0.000    0.696    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:20958(<lambda>)
   685423    0.285    0.000    6.107    0.000 {method 'extend' of 'list' objects}
     2711    0.283    0.000    0.343    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:5452(junction_is_clear)
   980396    0.278    0.000    0.410    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:730(_expired)
    10760    0.265    0.000    1.862    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/planet.py:1059(collisions_at)
  1460671    0.264    0.000    0.264    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/validate.py:3709(<genexpr>)
       15    0.259    0.017    0.259    0.017 {built-in method ortools.sat.python.cp_model_helper.solve}
        3    0.240    0.080    0.456    0.152 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/validate.py:753(_context)
        3    0.232    0.077    0.363    0.121 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/validate.py:4411(_reachable_from_outside)
   351909    0.232    0.000    0.298    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/numbers.py:317(__float__)
   367864    0.228    0.000    0.314    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:5475(free)
1981207/1981202    0.226    0.000    0.226    0.000 {built-in method builtins.len}
1831134/1830034    0.215    0.000    0.217    0.000 {built-in method builtins.abs}
  1264368    0.212    0.000    0.212    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/catalog.py:234(is_belt)
   727145    0.210    0.000    0.278    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/rules.py:864(gate_sqr)
        3    0.210    0.070    0.753    0.251 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/validate.py:3757(_power_too_close)
