         59645798 function calls (59043044 primitive calls) in 24.525 seconds

   Ordered by: cumulative time
   List reduced from 1695 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   25.687   25.687 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:6290(lay_out)
        1    0.000    0.000   14.599   14.599 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:1226(search)
        1    0.002    0.002   14.599   14.599 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:1727(_run_discovery)
        1    0.001    0.001   11.087   11.087 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:4736(_production_run)
        1    0.012    0.012   10.145   10.145 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:4352(_variant_direct_eligibility)
     1465    0.012    0.000   10.129    0.007 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:3805(_selected_direct_targets)
        1    0.005    0.005    9.436    9.436 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:2174(_route_annealed)
        1    0.000    0.000    9.430    9.430 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:2285(_route_archive)
      8/6    0.004    0.001    8.130    1.355 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/scripts/route_profile.py:361(shim)
     1752    0.480    0.000    5.841    0.003 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:3059(_direct_net_candidates)
     1750    0.017    0.000    5.387    0.003 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:3163(_direct_alignment_targets)
    80500    0.078    0.000    5.364    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:3167(<genexpr>)
        1    0.011    0.011    5.161    5.161 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:2109(_anneal_restarts)
    78943    2.414    0.000    5.159    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_pair.py:216(__post_init__)
        2    0.020    0.010    5.044    2.522 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_pair.py:1608(anneal_stage)
        1    0.000    0.000    4.377    4.377 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:2445(_complete_routing_stage)
        1    0.000    0.000    4.362    4.362 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:5439(certify)
     1752    0.078    0.000    3.434    0.002 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:2713(_direct_insert_candidates)
     1757    0.230    0.000    3.325    0.002 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:2013(_adapt)
        1    0.000    0.000    3.119    3.119 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:5314(prepare)
        1    0.000    0.000    3.119    3.119 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:5213(prepare_candidate)
        1    0.006    0.006    3.103    3.103 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:15828(_prepare_routing_problem)
    45766    0.085    0.000    2.858    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/slots.py:532(lane_orientation)
    91532    0.375    0.000    2.736    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/slots.py:517(lane_facing)
        1    0.000    0.000    2.654    2.654 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:5453(project)
        1    0.000    0.000    2.654    2.654 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:2690(finalize_placement)
        1    0.001    0.001    2.473    2.473 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:1968(_certify_frame)
     4002    0.281    0.000    2.352    0.001 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_kernel.py:149(score_state)
  1070910    0.605    0.000    2.351    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/slots.py:239(slot_forward)
       72    0.001    0.000    2.243    0.031 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:1855(_failure_at_projection)
     4002    0.003    0.000    2.131    0.001 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:5207(direct_targets_for_state)
     4003    0.004    0.000    2.128    0.001 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:5192(selected_direct_targets)
        1    0.000    0.000    1.934    1.934 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:1141(_run_detailed_route)
        1    0.000    0.000    1.872    1.872 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:5401(detailed_route)
        1    0.002    0.002    1.872    1.872 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:4693(_route_detailed_candidate)
        1    0.001    0.001    1.870    1.870 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:17148(_build_prepared)
   299197    0.118    0.000    1.676    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    1.628    1.628 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/validate.py:6156(certify)
        1    0.001    0.001    1.626    1.626 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/validate.py:6178(validate)
    11439    0.267    0.000    1.600    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/planet.py:1059(collisions_at)
        1    0.276    0.276    1.309    1.309 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:14731(_power_plan)
        1    0.001    0.001    1.285    1.285 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/scripts/route_profile.py:223(route_all)
        1    0.009    0.009    1.285    1.285 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:8835(_route_all)
  7447807    1.228    0.000    1.228    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_pair.py:240(<genexpr>)
     2379    0.008    0.000    1.208    0.001 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:824(_projected_static_failure)
  7447807    1.160    0.000    1.160    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_pair.py:242(<genexpr>)
       72    0.000    0.000    1.062    0.015 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:407(static_failure)
       72    0.000    0.000    1.061    0.015 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:308(static_failure)
      285    0.001    0.000    1.043    0.004 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:5178(selected_direct_candidates)
        2    0.001    0.001    0.982    0.491 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/scripts/route_profile.py:254(commit)
        2    0.050    0.025    0.981    0.491 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:11791(_commit_paths)
  1091939    0.340    0.000    0.914    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/slots.py:173(to_world)
  1263800    0.392    0.000    0.894    0.000 {method 'get' of 'dict' objects}
  1091939    0.525    0.000    0.875    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/slots.py:251(_pose)
    57409    0.062    0.000    0.836    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/planet.py:625(pose)
     1749    0.109    0.000    0.809    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:3714(_selected_strips)
     4003    0.199    0.000    0.807    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_pair.py:267(__post_init__)
        1    0.102    0.102    0.803    0.803 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:5133(_prepared_junction_ban)
    43545    0.041    0.000    0.748    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1763(replace)
        1    0.001    0.001    0.696    0.696 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/strip_variants.py:1693(generate_strip_families)


