         106231953 function calls (105894167 primitive calls) in 64.268 seconds

   Ordered by: cumulative time
   List reduced from 1402 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.004    0.004   67.848   67.848 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:19067(lay_out)
        1    0.034    0.034   65.723   65.723 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:19477(_sweep)
        6    0.015    0.002   64.748   10.791 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:17074(_build)
     25/9    0.025    0.001   39.686    4.410 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/scripts/route_profile.py:361(shim)
        6    0.056    0.009   37.586    6.264 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:15828(_prepare_routing_problem)
        6    0.010    0.002   27.141    4.523 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:17148(_build_prepared)
        2    0.004    0.002   22.914   11.457 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/scripts/route_profile.py:223(route_all)
        2    0.121    0.061   22.910   11.455 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:8835(_route_all)
        6    0.203    0.034   13.372    2.229 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:17658(_place_coaters)
        4    0.006    0.001   11.553    2.888 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/scripts/route_profile.py:254(commit)
        4    0.380    0.095   11.547    2.887 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:11791(_commit_paths)
       12    0.000    0.000    8.888    0.741 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:16223(hold_ports)
       12    0.002    0.000    8.888    0.741 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/scripts/route_profile.py:307(reserve)
       12    0.142    0.012    8.886    0.741 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:11562(_reserve_port_access)
      773    0.002    0.000    8.654    0.011 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/scripts/route_profile.py:313(merge)
      773    0.275    0.000    8.650    0.011 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:8576(_merge_frontier)
     1475    0.026    0.000    7.957    0.005 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/scripts/route_profile.py:179(astar)
     1475    6.166    0.004    7.926    0.005 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:7759(_astar)
   525223    0.509    0.000    7.028    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1763(replace)
   525223    3.357    0.000    6.222    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1782(_replace)
      454    0.003    0.000    5.902    0.013 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:3322(extended_snapshot)
        2    0.010    0.005    5.799    2.899 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:10937(commit_once)
        2    0.000    0.000    5.775    2.887 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:9040(_finish)
      462    0.101    0.000    5.659    0.012 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:3318(snapshot_bounds)
        2    1.815    0.907    5.421    2.710 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:14263(_projected_coater_junction_bans_by_frame)
      466    0.001    0.000    5.278    0.011 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:3656(survivor_bounds)
      466    0.085    0.000    5.278    0.011 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:3624(_peel)
    18308    0.366    0.000    4.915    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:9228(_can_junction)
      670    2.700    0.004    4.786    0.007 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:12727(_tap_source)
      438    2.232    0.005    4.097    0.009 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:4855(_coater_keepout_hits)
