         53169690 function calls (53114021 primitive calls) in 25.479 seconds

   Ordered by: cumulative time
   List reduced from 1443 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   26.694   26.694 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:19067(lay_out)
        1    0.015    0.015   26.169   26.169 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:19477(_sweep)
    23/15    0.010    0.000   19.280    1.285 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/scripts/route_profile.py:361(shim)
        4    0.005    0.001   13.530    3.383 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:17074(_build)
        4    0.000    0.000    8.354    2.088 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:2690(finalize_placement)
        4    0.002    0.001    7.955    1.989 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:1968(_certify_frame)
      296    0.002    0.000    7.369    0.025 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:1855(_failure_at_projection)
        4    0.004    0.001    6.843    1.711 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:17148(_build_prepared)
        4    0.015    0.004    6.681    1.670 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:15828(_prepare_routing_problem)
        4    0.003    0.001    5.796    1.449 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/scripts/route_profile.py:223(route_all)
        4    0.026    0.006    5.793    1.448 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:8835(_route_all)
  1101227    0.433    0.000    3.948    0.000 {method 'extend' of 'list' objects}
     8901    0.613    0.000    3.823    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/planet.py:1059(collisions_at)
        4    0.000    0.000    3.730    0.933 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/validate.py:6156(certify)
        4    0.002    0.000    3.726    0.931 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/validate.py:6178(validate)
     2077    0.019    0.000    3.527    0.002 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:824(_projected_static_failure)
        4    1.055    0.264    3.460    0.865 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:14731(_power_plan)
      296    0.001    0.000    3.400    0.011 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:407(static_failure)
      296    0.001    0.000    3.398    0.011 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:308(static_failure)
      580    0.010    0.000    2.673    0.005 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/scripts/route_profile.py:179(astar)
      580    1.530    0.003    2.661    0.005 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:7759(_astar)
       11    0.003    0.000    2.481    0.226 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/scripts/route_profile.py:254(commit)
       11    0.131    0.012    2.478    0.225 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:11791(_commit_paths)
     2381    0.011    0.000    2.074    0.001 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:751(_projected_power_verdict)
      296    0.001    0.000    2.059    0.007 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:395(sorter_failure)
      296    0.000    0.000    2.055    0.007 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:294(sorter_failure)
      296    0.357    0.001    2.055    0.007 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:620(_projected_sorter_failure)
     2381    0.861    0.000    2.042    0.001 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:705(_projected_power_candidates)
      296    0.001    0.000    1.876    0.006 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:420(power_failure)
      296    0.002    0.000    1.873    0.006 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:323(power_failure)
   128717    0.139    0.000    1.845    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/planet.py:625(pose)
   108027    0.101    0.000    1.831    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1763(replace)
