         53169690 function calls (53114021 primitive calls) in 25.479 seconds

   Ordered by: internal time
   List reduced from 1443 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      580    1.530    0.003    2.661    0.005 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:7759(_astar)
        4    1.055    0.264    3.460    0.865 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:14731(_power_plan)
   108027    0.891    0.000    1.672    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1782(_replace)
     2381    0.861    0.000    2.042    0.001 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:705(_projected_power_candidates)
  4686312    0.703    0.000    0.773    0.000 {method 'get' of 'dict' objects}
     8901    0.613    0.000    3.823    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/planet.py:1059(collisions_at)
       19    0.505    0.027    1.467    0.077 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/colliders.py:1742(_belt_overlap_candidates)
  1101227    0.433    0.000    3.948    0.000 {method 'extend' of 'list' objects}
  1558748    0.424    0.000    1.025    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:20958(<lambda>)
  1560789    0.409    0.000    0.603    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:730(_expired)
   222602    0.395    0.000    1.168    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/planet.py:612(direction)
   289473    0.380    0.000    0.578    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/colliders.py:1418(sphere_box_overlap)
   891497    0.375    0.000    0.484    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/planet.py:408(_norm)
   164133    0.369    0.000    1.297    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/planet.py:463(spherical_rotation)
      296    0.357    0.001    2.055    0.007 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:620(_projected_sorter_failure)
222384/221570    0.355    0.000    0.693    0.000 {built-in method builtins.min}
       20    0.344    0.017    0.344    0.017 {built-in method ortools.sat.python.cp_model_helper.solve}
  2751620    0.335    0.000    0.335    0.000 {built-in method time.monotonic}
  2529590    0.325    0.000    0.325    0.000 {built-in method builtins.getattr}
  1190713    0.291    0.000    0.433    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:17088(<lambda>)
     1972    0.284    0.000    0.589    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/colliders.py:1064(collisions)
  1899063    0.262    0.000    0.262    0.000 {method 'append' of 'list' objects}
   164133    0.255    0.000    0.532    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/planet.py:436(_look_rotation)
   154233    0.236    0.000    0.534    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/colliders.py:1051(target_boxes)
234343/232171    0.233    0.000    0.382    0.000 {built-in method builtins.max}
    61193    0.206    0.000    0.433    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:12082(<genexpr>)
   508696    0.187    0.000    0.187    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/slots.py:327(rank)
    17708    0.187    0.000    1.401    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/planet.py:829(sorter_condition)
   222602    0.185    0.000    0.421    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/planet.py:606(latitude)
   476228    0.184    0.000    0.184    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/colliders.py:201(_qrot)
        8    0.183    0.023    0.723    0.090 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:2968(__init__)
   283783    0.183    0.000    0.236    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/numbers.py:317(__float__)
1513243/1512436    0.182    0.000    0.183    0.000 {built-in method builtins.abs}
       32    0.173    0.005    0.379    0.012 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:3089(_ordered_coordinates)
   390089    0.173    0.000    0.173    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/colliders.py:1002(any_box_overlap)
     2284    0.170    0.000    0.232    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:5452(junction_is_clear)
