         67755830 function calls (66970268 primitive calls) in 27.827 seconds

   Ordered by: cumulative time
   List reduced from 1734 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   29.273   29.273 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:6290(lay_out)
        1    0.000    0.000   18.197   18.197 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:1226(search)
        2    0.002    0.001   17.161    8.581 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:1727(_run_discovery)
        1    0.001    0.001   11.076   11.076 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:4736(_production_run)
        1    0.013    0.013   10.082   10.082 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:4352(_variant_direct_eligibility)
     1561    0.013    0.000   10.064    0.006 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:3805(_selected_direct_targets)
        2    0.017    0.008    9.637    4.818 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:2109(_anneal_restarts)
        4    0.038    0.009    9.494    2.373 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_pair.py:1608(anneal_stage)
        3    0.005    0.002    8.477    2.826 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:2174(_route_annealed)
        3    0.000    0.000    8.472    2.824 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:2285(_route_archive)
     2157    0.026    0.000    6.833    0.003 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:3163(_direct_alignment_targets)
   133734    0.123    0.000    6.797    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:3167(<genexpr>)
     10/8    0.004    0.000    6.757    0.845 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/scripts/route_profile.py:361(shim)
   131840    3.079    0.000    6.463    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_pair.py:216(__post_init__)
     2159    0.673    0.000    6.080    0.003 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:3059(_direct_net_candidates)
     8005    0.649    0.000    4.490    0.001 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_kernel.py:149(score_state)
