         35438979 function calls (35372595 primitive calls) in 19.437 seconds

   Ordered by: cumulative time
   List reduced from 1434 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   20.727   20.727 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:19067(lay_out)
        1    0.010    0.010   19.589   19.589 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:19477(_sweep)
     13/9    0.009    0.001   13.517    1.502 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/scripts/route_profile.py:361(shim)
        2    0.005    0.003   12.883    6.442 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:17074(_build)
        2    0.003    0.001    6.668    3.334 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:17148(_build_prepared)
        2    0.012    0.006    6.209    3.104 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:15828(_prepare_routing_problem)
        2    0.001    0.001    5.432    2.716 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/scripts/route_profile.py:223(route_all)
        2    0.020    0.010    5.431    2.715 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:8835(_route_all)
        2    0.000    0.000    3.654    1.827 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/validate.py:6156(certify)
        2    0.001    0.001    3.650    1.825 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/validate.py:6178(validate)
   320077    0.135    0.000    3.518    0.000 {method 'extend' of 'list' objects}
        2    0.983    0.491    2.703    1.352 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:14731(_power_plan)
        4    0.002    0.001    2.697    0.674 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/scripts/route_profile.py:254(commit)
        4    0.148    0.037    2.694    0.674 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:11791(_commit_paths)
        2    0.000    0.000    2.545    1.273 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:2690(finalize_placement)
   122943    0.116    0.000    2.148    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1763(replace)
        2    0.001    0.000    2.117    1.059 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:1968(_certify_frame)
   122943    1.064    0.000    1.966    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1782(_replace)
      413    0.009    0.000    1.959    0.005 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/scripts/route_profile.py:179(astar)
      413    1.343    0.003    1.948    0.005 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:7759(_astar)
      288    0.001    0.000    1.692    0.006 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/scripts/route_profile.py:313(merge)
      288    0.079    0.000    1.690    0.006 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:8576(_merge_frontier)
       40    0.000    0.000    1.668    0.042 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:1855(_failure_at_projection)
        4    0.000    0.000    1.507    0.377 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:16223(hold_ports)
        4    0.000    0.000    1.507    0.377 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/scripts/route_profile.py:307(reserve)
        4    0.007    0.002    1.506    0.377 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:11562(_reserve_port_access)
