         27312494 function calls (27227244 primitive calls) in 22.463 seconds

   Ordered by: cumulative time
   List reduced from 1662 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   23.510   23.510 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:6290(lay_out)
        1    0.008    0.008   13.689   13.689 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:1226(search)
        1    0.002    0.002    9.820    9.820 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:4736(_production_run)
     10/6    0.005    0.000    7.407    1.234 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/scripts/route_profile.py:361(shim)
        1    0.000    0.000    7.405    7.405 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:1744(_route_compact_seed_closure)
        1    0.000    0.000    7.310    7.310 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/compact_seed.py:568(solve_compact_seed)
        2    0.000    0.000    7.257    3.629 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:1141(_run_detailed_route)
        1    0.000    0.000    7.227    7.227 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/compact_seed.py:1121(_solve_interruptibly)
        1    0.000    0.000    7.227    7.227 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/threading.py:1097(join)
        1    0.000    0.000    7.227    7.227 {method 'join' of '_thread._ThreadHandle' objects}
        1    0.000    0.000    7.227    7.227 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/threading.py:1030(_bootstrap)
        1    0.000    0.000    7.227    7.227 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/threading.py:1065(_bootstrap_inner)
        1    0.000    0.000    7.227    7.227 {method 'run' of '_contextvars.Context' objects}
        1    0.000    0.000    7.226    7.226 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/threading.py:1013(run)
        1    0.003    0.003    7.226    7.226 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/compact_seed.py:1133(watch_cancellation)
1419/1418    0.006    0.000    7.221    0.005 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/threading.py:651(wait)
1419/1418    0.013    0.000    7.205    0.005 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/threading.py:337(wait)
5678/5672    7.184    0.001    7.184    0.001 {method 'acquire' of '_thread.lock' objects}
        2    0.001    0.001    7.103    3.552 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:5401(detailed_route)
        2    0.004    0.002    7.102    3.551 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:4693(_route_detailed_candidate)
        2    0.003    0.001    7.098    3.549 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:17148(_build_prepared)
        1    0.002    0.002    6.275    6.275 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:1982(_run_pending_projection_feedback)
        1    0.000    0.000    6.273    6.273 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:2025(_run_feedback_closure)
        2    0.000    0.000    6.166    3.083 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:5213(prepare_candidate)
        1    0.004    0.004    6.164    6.164 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:2174(_route_annealed)
        1    0.000    0.000    6.160    6.160 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:2285(_route_archive)
        2    0.012    0.006    6.136    3.068 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:15828(_prepare_routing_problem)
        2    0.001    0.001    6.034    3.017 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/scripts/route_profile.py:223(route_all)
        2    0.022    0.011    6.033    3.017 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:8835(_route_all)
        1    0.000    0.000    3.589    3.589 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:5320(prepare_exact)
        2    0.861    0.431    2.929    1.464 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:14731(_power_plan)
        4    0.002    0.001    2.701    0.675 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/scripts/route_profile.py:254(commit)
        4    0.150    0.037    2.699    0.675 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:11791(_commit_paths)
        1    0.000    0.000    2.577    2.577 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:5314(prepare)
      456    0.009    0.000    2.286    0.005 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/scripts/route_profile.py:179(astar)
      456    1.391    0.003    2.276    0.005 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:7759(_astar)
      408    0.001    0.000    1.563    0.004 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/scripts/route_profile.py:313(merge)
      408    0.083    0.000    1.561    0.004 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:8576(_merge_frontier)
    83228    0.081    0.000    1.548    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1763(replace)
    83228    0.753    0.000    1.420    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1782(_replace)
        2    0.004    0.002    1.389    0.694 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:10937(commit_once)
        2    0.000    0.000    1.320    0.660 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:9040(_finish)
        4    0.000    0.000    1.193    0.298 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:16223(hold_ports)
        4    0.000    0.000    1.193    0.298 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/scripts/route_profile.py:307(reserve)
        4    0.007    0.002    1.192    0.298 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:11562(_reserve_port_access)
        2    0.049    0.024    1.175    0.587 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:5133(_prepared_junction_ban)
        1    0.001    0.001    1.168    1.168 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/strip_variants.py:1693(generate_strip_families)
        8    0.005    0.001    1.076    0.134 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:5076(_cancellable_junction_ban_offsets)
     4256    0.008    0.000    1.065    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:5005(_junction_site_is_clear)
        1    0.001    0.001    1.044    1.044 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:4352(_variant_direct_eligibility)
       65    0.001    0.000    1.043    0.016 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:3805(_selected_direct_targets)
      982    0.000    0.000    1.009    0.001 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/strip_variants.py:1748(<genexpr>)
      164    0.009    0.000    1.009    0.006 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/strip_variants.py:1608(_variants)
