         27312494 function calls (27227244 primitive calls) in 22.463 seconds

   Ordered by: internal time
   List reduced from 1662 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
5678/5672    7.184    0.001    7.184    0.001 {method 'acquire' of '_thread.lock' objects}
      456    1.391    0.003    2.276    0.005 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:7759(_astar)
        2    0.861    0.431    2.929    1.464 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:14731(_power_plan)
    83228    0.753    0.000    1.420    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1782(_replace)
     4657    0.411    0.000    0.805    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/colliders.py:1064(collisions)
  2207821    0.391    0.000    0.449    0.000 {method 'get' of 'dict' objects}
151136/150288    0.324    0.000    0.703    0.000 {built-in method builtins.min}
  2041370    0.281    0.000    0.281    0.000 {built-in method builtins.getattr}
     2318    0.230    0.000    0.288    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:5452(junction_is_clear)
   584666    0.203    0.000    0.203    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/slots.py:327(rank)
   758476    0.201    0.000    0.299    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/sequence_solver.py:4762(deadline_reached)
    20187    0.199    0.000    0.984    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/slots.py:353(attachment)
  1285217    0.186    0.000    0.186    0.000 {method 'append' of 'list' objects}
230644/226990    0.183    0.000    0.284    0.000 {built-in method builtins.max}
   116340    0.162    0.000    0.246    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/colliders.py:1418(sphere_box_overlap)
      272    0.161    0.001    0.181    0.001 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:12289(_splitter_successors)
    50164    0.161    0.000    0.311    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:13500(_projected_power_peer_possible)
        4    0.150    0.038    0.544    0.136 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/colliders.py:1742(_belt_overlap_candidates)
        4    0.150    0.037    2.699    0.675 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:11791(_commit_paths)
        4    0.134    0.034    0.276    0.069 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/colliders.py:1810(_reverse_input_choices)
   195676    0.134    0.000    0.184    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:5475(free)
       13    0.132    0.010    0.132    0.010 {built-in method ortools.sat.python.cp_model_helper.solve}
       10    0.129    0.013    0.163    0.016 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:7243(_sweep)
   711314    0.126    0.000    0.136    0.000 {method 'add' of 'set' objects}
   616807    0.126    0.000    0.126    0.000 {method 'setdefault' of 'dict' objects}
1030575/1030039    0.123    0.000    0.124    0.000 {built-in method builtins.abs}
    47072    0.121    0.000    0.311    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:12082(<genexpr>)
        2    0.119    0.059    0.731    0.366 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/slots.py:1142(assign_belt_slots)
    50607    0.115    0.000    0.559    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/slots.py:261(machine_slot)
      422    0.115    0.000    0.446    0.001 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:858(first_projected_static_failure)
       16    0.109    0.007    0.231    0.014 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:3089(_ordered_coordinates)
   667883    0.109    0.000    0.109    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/catalog.py:234(is_belt)
    47072    0.108    0.000    0.118    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/colliders.py:1819(<genexpr>)
