source	url_id	spec_label	strategy	budget_s	status_batch3	status_batch2	clean_rounds	refused_all_rounds	any_refusal	refusal_class	median_wall_s	median_wall_batch2_s	median_area	median_overshoot_s	median_alns_evaluations	median_budget_unspent_s	median_belt_tiles	median_direct_inserts	machines	groups	strips	recipes	distinct_items	max_ingredients_per_strip	mean_ingredients_per_strip	coaters	items_above_one_belt	both_fed_items	chain_depth	max_spread	sum_spread	max_consumers	items_with_3plus_consumers	proliferator_consumers	proliferator_span	proliferator_spread	max_live_range	sum_live_range	items_live_range_ge3	max_pressure	max_lane_pressure	sum_pressure	lane_pressure_per_strip	max_pressure_no_spray	max_lane_pressure_no_spray	proliferator_live_range
corpus	casimir-crystal	all-products	freeform	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	10.243	12.236	1161.0	0.0	9.0	0.0	494.0	0.0	17	5	5	5	11	3	1.8	9	0	0	2	0	0	1	0	9	2	18	2	10	0	6	6	10	1.2	5	5	2
corpus	casimir-crystal	all-products	sequence-pair	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	29.27	28.903	1100.0	0.0	11.0	0.0	583.0	0.0	17	5	5	5	11	3	1.8	9	0	0	2	0	0	1	0	9	2	18	2	10	0	6	6	10	1.2	5	5	2
corpus	casimir-crystal	no-proliferator	freeform	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	4.223	4.744	1107.0	0.0	10.0	0.0	398.0	0.0	23	5	5	5	10	3	1.8	0	0	0	2	0	0	1	0	0	0	0	2	8	0	5	5	8	1.0	5	5	0
corpus	casimir-crystal	no-proliferator	sequence-pair	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	31.275	31.222	1092.0	0.0	44.0	0.0	411.0	0.0	23	5	5	5	10	3	1.8	0	0	0	2	0	0	1	0	0	0	0	2	8	0	5	5	8	1.0	5	5	0
corpus	casimir-crystal	output-products	freeform	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	10.473	8.797	1100.0	0.0	11.0	0.0	437.0	0.0	21	5	5	5	11	3	1.8	3	0	0	2	0	0	1	0	3	0	0	2	10	0	6	6	10	1.2	5	5	2
corpus	casimir-crystal	output-products	sequence-pair	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	29.712	29.737	1100.0	0.0	21.0	0.0	437.0	0.0	21	5	5	5	11	3	1.8	3	0	0	2	0	0	1	0	3	0	0	2	10	0	6	6	10	1.2	5	5	2
corpus	electromagnetic-matrix	all-products	freeform	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	11.617	12.624	756.0	0.0	10.0	0.0	400.0	0.0	8	6	6	6	9	2	1.5	7	0	0	2	0	0	2	0	7	2	14	2	7	0	4	4	7	0.6667	3	3	2
corpus	electromagnetic-matrix	all-products	sequence-pair	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	29.269	29.632	841.0	0.0	11.0	0.0	409.0	0.0	8	6	6	6	9	2	1.5	7	0	0	2	0	0	2	0	7	2	14	2	7	0	4	4	7	0.6667	3	3	2
corpus	electromagnetic-matrix	no-proliferator	freeform	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	2.088	1.921	609.0	0.0	9.0	0.0	166.0	0.0	9	6	6	6	8	2	1.5	0	0	0	2	0	0	2	0	0	0	0	1	5	0	3	3	5	0.5	3	3	0
corpus	electromagnetic-matrix	no-proliferator	sequence-pair	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	31.21	31.24	504.0	0.0	78.0	0.0	176.0	0.0	9	6	6	6	8	2	1.5	0	0	0	2	0	0	2	0	0	0	0	1	5	0	3	3	5	0.5	3	3	0
