url_id,candidate,strips,flanked,total_box_height,tallest_box_height,input_lanes,mixed_lanes
iron-ingot,no-proliferator,1,0,5,5,1,0
iron-ingot,all-products,1,0,5,5,1,0
iron-ingot,output-products,1,0,5,5,1,0
magnetic-coil,no-proliferator,3,0,17,7,4,0
magnetic-coil,all-products,3,0,17,7,4,0
magnetic-coil,output-products,3,0,17,7,4,0
graphene,no-proliferator,2,0,13,8,3,0
graphene,all-products,2,0,13,8,3,0
graphene,output-products,2,0,13,8,3,0
electromagnetic-matrix,no-proliferator,6,0,38,8,9,0
electromagnetic-matrix,all-products,6,0,38,8,9,0
electromagnetic-matrix,output-products,6,0,38,8,9,0
plastic,no-proliferator,3,0,19,8,4,0
plastic,all-products,3,0,19,8,4,0
plastic,output-products,3,0,19,8,4,0
processor,no-proliferator,7,0,42,7,10,0
processor,all-products,6,0,37,7,9,0
processor,output-products,7,0,42,7,10,0
energy-matrix,no-proliferator,2,0,13,8,3,0
energy-matrix,all-products,2,0,13,8,3,0
energy-matrix,output-products,2,0,13,8,3,0
super-magnetic-ring,no-proliferator,13,0,85,8,21,0
super-magnetic-ring,all-products,10,0,65,8,16,0
super-magnetic-ring,output-products,13,0,85,8,21,0
casimir-crystal,no-proliferator,5,0,33,8,9,0
casimir-crystal,all-products,5,0,33,8,9,0
casimir-crystal,output-products,5,0,33,8,9,0
information-matrix,no-proliferator,22,0,147,8,35,0
information-matrix,all-products,17,0,114,8,27,0
information-matrix,output-products,21,0,141,8,34,0
quantum-chip,no-proliferator,20,0,131,8,35,0
quantum-chip,all-products,16,0,105,8,28,0
quantum-chip,output-products,19,0,123,8,32,0
universe-matrix,no-proliferator,57,3,409,10,93,6
universe-matrix,all-products,46,2,338,10,77,4
universe-matrix,output-products,53,2,384,10,88,4
