         1535543 function calls (1535335 primitive calls) in 30.087 seconds

   Ordered by: internal time
   List reduced from 674 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18   28.481    1.582   28.481    1.582 {method 'poll' of 'select.poll' objects}
       28    0.461    0.016    0.461    0.016 {built-in method posix.waitpid}
    47732    0.380    0.000    0.950    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1255(_dataclass_setstate)
    47754    0.360    0.000    0.570    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1454(fields)
  1240977    0.190    0.000    0.190    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1469(<genexpr>)
        4    0.081    0.020    1.089    0.272 {built-in method _pickle.loads}
    27288    0.046    0.000    0.058    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/fractions.py:206(__new__)
        1    0.014    0.014   30.087   30.087 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_solver.py:6327(lay_out)
    47787    0.011    0.000    0.011    0.000 {method 'values' of 'dict' objects}
    48545    0.010    0.000    0.010    0.000 {built-in method builtins.getattr}
    27441    0.007    0.000    0.007    0.000 {built-in method __new__ of type object at 0x15a0bc0}
    27288    0.005    0.000    0.005    0.000 {built-in method math.gcd}
     25/4    0.004    0.000    0.021    0.005 {built-in method builtins.exec}
       16    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
        8    0.002    0.000    0.002    0.000 {built-in method _posixsubprocess.fork_exec}
       21    0.002    0.000    0.002    0.000 {method 'dump' of '_pickle.Pickler' objects}
       62    0.001    0.000    0.001    0.000 {built-in method posix.read}
       72    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
        6    0.001    0.000    0.001    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1338(_add_slots)
       16    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
       62    0.001    0.000    0.001    0.000 {method 'write' of '_io.BytesIO' objects}
        8    0.001    0.000    0.009    0.001 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:986(_process_class)
       69    0.001    0.000    0.001    0.000 {built-in method posix.stat}
        4    0.001    0.000    0.003    0.001 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/enum.py:881(_convert_)
        4    0.001    0.000    0.001    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/enum.py:1741(convert_class)
      180    0.000    0.000    0.001    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:766(_is_type)
      2/1    0.000    0.000   30.046   30.046 {method 'join' of '_thread._ThreadHandle' objects}
       16    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
     1361    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
     1682    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       32    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1357(find_spec)
       60    0.000    0.000    0.001    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:825(_get_field)
        1    0.000    0.000   29.743   29.743 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/concurrent/futures/_base.py:257(wait)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       18    0.000    0.000   28.483    1.582 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/connection.py:1176(wait)
        5    0.000    0.000    0.002    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/synchronize.py:49(__init__)
       51    0.000    0.000    0.000    0.000 {built-in method posix.close}
       22    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1243(_find_spec)
     1627    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        7    0.000    0.000    0.004    0.001 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/popen_spawn_posix.py:38(_launch)
       21    0.000    0.000    0.000    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/reduction.py:38(__init__)
        1    0.000    0.000   30.048   30.048 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/concurrent/futures/process.py:955(shutdown)
       16    0.000    0.000    0.003    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/connection.py:410(_recv)
        7    0.000    0.000    0.002    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/reduction.py:48(dumps)
      177    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
      421    0.000    0.000    0.000    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/socket.py:91(<lambda>)
      419    0.000    0.000    0.000    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/socket.py:81(<lambda>)
      364    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
