         454766 function calls (454558 primitive calls) in 31.769 seconds

   Ordered by: cumulative time
   List reduced from 674 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000   32.377    4.625 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/process.py:149(join)
        1    0.001    0.001   31.769   31.769 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_solver.py:6327(lay_out)
        1    0.000    0.000   31.751   31.751 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_islands.py:272(run_sequence_islands)
        1    0.000    0.000   31.748   31.748 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/concurrent/futures/process.py:955(shutdown)
      2/1    0.000    0.000   31.746   31.746 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/threading.py:1097(join)
      2/1    0.000    0.000   31.745   31.745 {method 'join' of '_thread._ThreadHandle' objects}
      2/1    0.000    0.000   31.745   31.745 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/threading.py:1030(_bootstrap)
      2/1    0.000    0.000   31.745   31.745 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/threading.py:1065(_bootstrap_inner)
      2/1    0.000    0.000   31.745   31.745 {method 'run' of '_contextvars.Context' objects}
        1    0.000    0.000   31.745   31.745 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/concurrent/futures/process.py:353(run)
        1    0.000    0.000   31.745   31.745 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/concurrent/futures/process.py:644(join_executor_internals)
        1    0.000    0.000   31.745   31.745 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/concurrent/futures/process.py:648(_join_executor_internals)
       14    0.000    0.000   31.520    2.251 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/util.py:276(__call__)
        1    0.000    0.000   31.520   31.520 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/queues.py:145(join_thread)
        1    0.000    0.000   31.519   31.519 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/queues.py:212(_finalize_join)
        7    0.000    0.000   30.593    4.370 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/concurrent/futures/process.py:495(wait_result_broken_or_wakeup)
       18    0.000    0.000   30.313    1.684 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/connection.py:1176(wait)
       18    0.000    0.000   30.312    1.684 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/selectors.py:385(select)
       18   30.312    1.684   30.312    1.684 {method 'poll' of 'select.poll' objects}
        7    0.000    0.000    1.142    0.163 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/popen_fork.py:37(wait)
       28    0.000    0.000    1.142    0.041 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/popen_fork.py:25(poll)
       28    1.141    0.041    1.141    0.041 {built-in method posix.waitpid}
        4    0.000    0.000    0.280    0.070 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/connection.py:256(recv)
        4    0.018    0.005    0.279    0.070 {built-in method _pickle.loads}
    13684    0.098    0.000    0.248    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1255(_dataclass_setstate)
    13706    0.091    0.000    0.150    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1454(fields)
   355784    0.053    0.000    0.053    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1469(<genexpr>)
     22/4    0.000    0.000    0.019    0.005 <frozen importlib._bootstrap>:1360(_find_and_load)
     22/4    0.000    0.000    0.019    0.005 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
     21/4    0.000    0.000    0.019    0.005 <frozen importlib._bootstrap>:914(_load_unlocked)
     16/4    0.000    0.000    0.018    0.005 <frozen importlib._bootstrap_external>:753(exec_module)
     53/8    0.000    0.000    0.018    0.002 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
     25/4    0.004    0.000    0.017    0.004 {built-in method builtins.exec}
        1    0.000    0.000    0.016    0.016 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_islands.py:1(<module>)
     7601    0.010    0.000    0.013    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/fractions.py:206(__new__)
        7    0.000    0.000    0.010    0.001 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/concurrent/futures/process.py:272(_spawn_worker)
        7    0.000    0.000    0.009    0.001 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/process.py:110(start)
