         2690959 function calls (2690751 primitive calls) in 27.463 seconds

   Ordered by: internal time
   List reduced from 674 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18   25.286    1.405   25.286    1.405 {method 'poll' of 'select.poll' objects}
    83498    0.711    0.000    1.054    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1454(fields)
    83476    0.611    0.000    1.665    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1255(_dataclass_setstate)
  2170321    0.311    0.000    0.311    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1469(<genexpr>)
       28    0.212    0.008    0.212    0.008 {built-in method posix.waitpid}
        4    0.126    0.032    1.889    0.472 {built-in method _pickle.loads}
    54856    0.076    0.000    0.098    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/fractions.py:206(__new__)
    83531    0.018    0.000    0.018    0.000 {method 'values' of 'dict' objects}
    84289    0.015    0.000    0.015    0.000 {built-in method builtins.getattr}
        1    0.014    0.014   27.463   27.463 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_solver.py:6327(lay_out)
    55009    0.012    0.000    0.012    0.000 {built-in method __new__ of type object at 0x15a0bc0}
    54856    0.010    0.000    0.010    0.000 {built-in method math.gcd}
     25/4    0.006    0.000    0.029    0.007 {built-in method builtins.exec}
        8    0.005    0.001    0.005    0.001 {built-in method _posixsubprocess.fork_exec}
      102    0.005    0.000    0.005    0.000 {method 'write' of '_io.BytesIO' objects}
       16    0.004    0.000    0.004    0.000 {built-in method marshal.loads}
      102    0.002    0.000    0.002    0.000 {built-in method posix.read}
       21    0.002    0.000    0.003    0.000 {method 'dump' of '_pickle.Pickler' objects}
       72    0.001    0.000    0.002    0.000 {built-in method builtins.__build_class__}
        6    0.001    0.000    0.002    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1338(_add_slots)
       16    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
       69    0.001    0.000    0.001    0.000 {built-in method posix.stat}
        8    0.001    0.000    0.012    0.001 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:986(_process_class)
        4    0.001    0.000    0.002    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/enum.py:1741(convert_class)
        4    0.001    0.000    0.004    0.001 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/enum.py:881(_convert_)
      180    0.000    0.000    0.001    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:766(_is_type)
        7    0.000    0.000   27.185    3.884 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/concurrent/futures/process.py:495(wait_result_broken_or_wakeup)
        8    0.000    0.000    0.001    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/concurrent/futures/process.py:472(add_call_item_to_queue)
       16    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
        4    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        7    0.000    0.000    0.009    0.001 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/popen_spawn_posix.py:38(_launch)
        5    0.000    0.000    0.003    0.001 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/synchronize.py:49(__init__)
       32    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1357(find_spec)
     1361    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        7    0.000    0.000   27.410    3.916 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/process.py:149(join)
       60    0.000    0.000    0.002    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:825(_get_field)
     1682    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
    47/19    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       22    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1243(_find_spec)
       18    0.000    0.000   25.288    1.405 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/connection.py:1176(wait)
     1627    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       16    0.000    0.000    0.008    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/connection.py:410(_recv)
      2/1    0.000    0.000   27.412   27.412 {method 'run' of '_contextvars.Context' objects}
       29    0.000    0.000    0.000    0.000 {built-in method posix.write}
      2/1    0.000    0.000   27.412   27.412 {method 'join' of '_thread._ThreadHandle' objects}
       51    0.000    0.000    0.000    0.000 {built-in method posix.close}
      177    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
      419    0.000    0.000    0.000    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/socket.py:81(<lambda>)
       21    0.000    0.000    0.000    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/reduction.py:38(__init__)
       35    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(acquire)
       26    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        2    0.000    0.000    0.000    0.000 {built-in method _thread.start_joinable_thread}
      364    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      420    0.000    0.000    0.000    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/socket.py:86(<lambda>)
      421    0.000    0.000    0.000    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/socket.py:91(<lambda>)
      422    0.000    0.000    0.000    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/socket.py:96(<lambda>)
      180    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      695    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       16    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:826(get_code)
       14    0.000    0.000   27.200    1.943 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/util.py:276(__call__)


