         763188 function calls (762980 primitive calls) in 27.669 seconds

   Ordered by: internal time
   List reduced from 674 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18   26.444    1.469   26.444    1.469 {method 'poll' of 'select.poll' objects}
       28    0.628    0.022    0.628    0.022 {built-in method posix.waitpid}
    23399    0.194    0.000    0.493    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1255(_dataclass_setstate)
    23421    0.186    0.000    0.299    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1454(fields)
   608374    0.102    0.000    0.102    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1469(<genexpr>)
        4    0.036    0.009    0.556    0.139 {built-in method _pickle.loads}
    13184    0.021    0.000    0.027    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/fractions.py:206(__new__)
    23454    0.006    0.000    0.006    0.000 {method 'values' of 'dict' objects}
    24212    0.005    0.000    0.005    0.000 {built-in method builtins.getattr}
     25/4    0.004    0.000    0.020    0.005 {built-in method builtins.exec}
        8    0.004    0.000    0.004    0.000 {built-in method _posixsubprocess.fork_exec}
    13337    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x15a0bc0}
    13184    0.003    0.000    0.003    0.000 {built-in method math.gcd}
       16    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
        1    0.002    0.002   27.669   27.669 /tmp/speedups-2-batch2-baseline/src/flab2bp/layout/sequence_solver.py:6294(lay_out)
       36    0.002    0.000    0.002    0.000 {method 'write' of '_io.BytesIO' objects}
       21    0.001    0.000    0.002    0.000 {method 'dump' of '_pickle.Pickler' objects}
       16    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
       72    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
        6    0.001    0.000    0.001    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1338(_add_slots)
       36    0.001    0.000    0.001    0.000 {built-in method posix.read}
        8    0.000    0.000    0.008    0.001 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:986(_process_class)
        4    0.000    0.000    0.003    0.001 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/enum.py:881(_convert_)
