         454757 function calls (454549 primitive calls) in 27.237 seconds

   Ordered by: internal time
   List reduced from 674 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18   25.199    1.400   25.199    1.400 {method 'poll' of 'select.poll' objects}
       28    1.670    0.060    1.670    0.060 {built-in method posix.waitpid}
    13683    0.124    0.000    0.294    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1255(_dataclass_setstate)
    13705    0.105    0.000    0.170    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1454(fields)
   355779    0.058    0.000    0.058    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1469(<genexpr>)
        4    0.022    0.006    0.332    0.083 {built-in method _pickle.loads}
     7601    0.013    0.000    0.017    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/fractions.py:206(__new__)
     25/4    0.004    0.000    0.018    0.004 {built-in method builtins.exec}
        8    0.004    0.000    0.004    0.000 {built-in method _posixsubprocess.fork_exec}
    13738    0.003    0.000    0.003    0.000 {method 'values' of 'dict' objects}
    14496    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
     7754    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x15a0bc0}
       16    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
     7601    0.002    0.000    0.002    0.000 {built-in method math.gcd}
       21    0.001    0.000    0.002    0.000 {method 'dump' of '_pickle.Pickler' objects}
       72    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
        1    0.001    0.001   27.237   27.237 /tmp/speedups-2-batch2-baseline/src/flab2bp/layout/sequence_solver.py:6294(lay_out)
       16    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        6    0.001    0.000    0.001    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1338(_add_slots)
       26    0.000    0.000    0.000    0.000 {built-in method posix.read}
        8    0.000    0.000    0.007    0.001 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:986(_process_class)
        4    0.000    0.000    0.001    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/enum.py:1741(convert_class)
        4    0.000    0.000    0.002    0.001 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/enum.py:881(_convert_)
       69    0.000    0.000    0.000    0.000 {built-in method posix.stat}
       26    0.000    0.000    0.000    0.000 {method 'write' of '_io.BytesIO' objects}
      180    0.000    0.000    0.001    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:766(_is_type)
        7    0.000    0.000   27.944    3.992 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/process.py:149(join)
       16    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
     1357    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       60    0.000    0.000    0.001    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:825(_get_field)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       32    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1357(find_spec)
        7    0.000    0.000    0.005    0.001 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/popen_spawn_posix.py:38(_launch)
     1682    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        5    0.000    0.000    0.002    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/synchronize.py:49(__init__)
       18    0.000    0.000   25.200    1.400 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/connection.py:1176(wait)
        1    0.000    0.000   27.216   27.216 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/concurrent/futures/process.py:955(shutdown)
      2/1    0.000    0.000   27.214   27.214 {method 'join' of '_thread._ThreadHandle' objects}
       51    0.000    0.000    0.000    0.000 {built-in method posix.close}
       22    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1243(_find_spec)
      2/1    0.000    0.000   27.213   27.213 {method 'run' of '_contextvars.Context' objects}
     1627    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _thread.start_joinable_thread}
      177    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
      364    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      420    0.000    0.000    0.000    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/socket.py:86(<lambda>)
       14    0.000    0.000   26.510    1.894 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/util.py:276(__call__)
      419    0.000    0.000    0.000    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/socket.py:81(<lambda>)
      422    0.000    0.000    0.000    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/socket.py:96(<lambda>)
      421    0.000    0.000    0.000    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/socket.py:91(<lambda>)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
