         2497059 function calls (2496851 primitive calls) in 28.747 seconds

   Ordered by: cumulative time
   List reduced from 674 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.012    0.012   28.747   28.747 /tmp/speedups-2-batch2-baseline/src/flab2bp/layout/sequence_solver.py:6294(lay_out)
        1    0.000    0.000   28.715   28.715 /tmp/speedups-2-batch2-baseline/src/flab2bp/layout/sequence_islands.py:272(run_sequence_islands)
        1    0.000    0.000   28.712   28.712 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/concurrent/futures/process.py:955(shutdown)
      2/1    0.000    0.000   28.710   28.710 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/threading.py:1097(join)
      2/1    0.000    0.000   28.710   28.710 {method 'join' of '_thread._ThreadHandle' objects}
      2/1    0.000    0.000   28.709   28.709 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/threading.py:1030(_bootstrap)
      2/1    0.000    0.000   28.709   28.709 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/threading.py:1065(_bootstrap_inner)
      2/1    0.000    0.000   28.709   28.709 {method 'run' of '_contextvars.Context' objects}
        1    0.000    0.000   28.709   28.709 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/concurrent/futures/process.py:353(run)
        1    0.000    0.000   28.709   28.709 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/concurrent/futures/process.py:644(join_executor_internals)
        1    0.000    0.000   28.709   28.709 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/concurrent/futures/process.py:648(_join_executor_internals)
        7    0.000    0.000   28.708    4.101 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/process.py:149(join)
       14    0.000    0.000   28.486    2.035 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/util.py:276(__call__)
        1    0.000    0.000   28.486   28.486 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/queues.py:145(join_thread)
        1    0.000    0.000   28.486   28.486 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/queues.py:212(_finalize_join)
        7    0.000    0.000   28.474    4.068 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/concurrent/futures/process.py:495(wait_result_broken_or_wakeup)
       18    0.000    0.000   26.869    1.493 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/connection.py:1176(wait)
       18    0.000    0.000   26.868    1.493 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/selectors.py:385(select)
       18   26.868    1.493   26.868    1.493 {method 'poll' of 'select.poll' objects}
        4    0.000    0.000    1.604    0.401 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/connection.py:256(recv)
        4    0.105    0.026    1.591    0.398 {built-in method _pickle.loads}
    77586    0.515    0.000    1.403    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1255(_dataclass_setstate)
    77608    0.585    0.000    0.888    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1454(fields)
  2017181    0.269    0.000    0.269    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1469(<genexpr>)
        7    0.000    0.000    0.224    0.032 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/popen_fork.py:37(wait)
       28    0.000    0.000    0.224    0.008 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/popen_fork.py:25(poll)
       28    0.224    0.008    0.224    0.008 {built-in method posix.waitpid}
    49132    0.065    0.000    0.083    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/fractions.py:206(__new__)
     22/4    0.000    0.000    0.022    0.005 <frozen importlib._bootstrap>:1360(_find_and_load)
     22/4    0.000    0.000    0.021    0.005 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
     21/4    0.000    0.000    0.021    0.005 <frozen importlib._bootstrap>:914(_load_unlocked)
     16/4    0.000    0.000    0.021    0.005 <frozen importlib._bootstrap_external>:753(exec_module)
     53/8    0.000    0.000    0.020    0.002 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
     25/4    0.004    0.000    0.020    0.005 {built-in method builtins.exec}
        1    0.000    0.000    0.019    0.019 /tmp/speedups-2-batch2-baseline/src/flab2bp/layout/sequence_islands.py:1(<module>)
    78399    0.018    0.000    0.018    0.000 {built-in method builtins.getattr}
    77641    0.016    0.000    0.016    0.000 {method 'values' of 'dict' objects}
        8    0.000    0.000    0.014    0.002 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/connection.py:450(_recv_bytes)
       16    0.000    0.000    0.013    0.001 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/connection.py:410(_recv)
        7    0.000    0.000    0.011    0.002 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/concurrent/futures/process.py:272(_spawn_worker)
        7    0.000    0.000    0.011    0.002 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/process.py:110(start)
    49285    0.010    0.000    0.010    0.000 {built-in method __new__ of type object at 0x15a0bc0}
        7    0.000    0.000    0.010    0.001 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/context.py:291(_Popen)
    34/21    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap>:1409(_handle_fromlist)
        7    0.000    0.000    0.009    0.001 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/popen_spawn_posix.py:30(__init__)
        7    0.000    0.000    0.009    0.001 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/popen_fork.py:16(__init__)
        8    0.000    0.000    0.008    0.001 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1440(wrap)
        8    0.001    0.000    0.008    0.001 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:986(_process_class)
       95    0.008    0.000    0.008    0.000 {built-in method posix.read}
    49132    0.008    0.000    0.008    0.000 {built-in method math.gcd}
        7    0.000    0.000    0.008    0.001 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/popen_spawn_posix.py:38(_launch)
        4    0.000    0.000    0.007    0.002 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/concurrent/futures/process.py:855(_adjust_process_count)
        4    0.000    0.000    0.007    0.002 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/concurrent/futures/process.py:888(_spawn_process)
     10/4    0.000    0.000    0.007    0.002 {built-in method builtins.__import__}
        1    0.000    0.000    0.007    0.007 /tmp/speedups-2-batch2-baseline/src/flab2bp/layout/strategy_race.py:1(<module>)
        4    0.000    0.000    0.006    0.002 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/concurrent/futures/process.py:894(submit)
        1    0.000    0.000    0.006    0.006 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/__init__.py:1(<module>)
        8    0.000    0.000    0.006    0.001 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/util.py:518(spawnv_passfds)
        8    0.005    0.001    0.005    0.001 {built-in method _posixsubprocess.fork_exec}
        1    0.000    0.000    0.005    0.005 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/context.py:1(<module>)


