         2497059 function calls (2496851 primitive calls) in 28.747 seconds

   Ordered by: internal time
   List reduced from 674 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18   26.868    1.493   26.868    1.493 {method 'poll' of 'select.poll' objects}
    77608    0.585    0.000    0.888    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1454(fields)
    77586    0.515    0.000    1.403    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1255(_dataclass_setstate)
  2017181    0.269    0.000    0.269    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1469(<genexpr>)
       28    0.224    0.008    0.224    0.008 {built-in method posix.waitpid}
        4    0.105    0.026    1.591    0.398 {built-in method _pickle.loads}
    49132    0.065    0.000    0.083    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/fractions.py:206(__new__)
    78399    0.018    0.000    0.018    0.000 {built-in method builtins.getattr}
    77641    0.016    0.000    0.016    0.000 {method 'values' of 'dict' objects}
        1    0.012    0.012   28.747   28.747 /tmp/speedups-2-batch2-baseline/src/flab2bp/layout/sequence_solver.py:6294(lay_out)
    49285    0.010    0.000    0.010    0.000 {built-in method __new__ of type object at 0x15a0bc0}
       95    0.008    0.000    0.008    0.000 {built-in method posix.read}
    49132    0.008    0.000    0.008    0.000 {built-in method math.gcd}
        8    0.005    0.001    0.005    0.001 {built-in method _posixsubprocess.fork_exec}
       95    0.005    0.000    0.005    0.000 {method 'write' of '_io.BytesIO' objects}
     25/4    0.004    0.000    0.020    0.005 {built-in method builtins.exec}
       16    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
       21    0.001    0.000    0.002    0.000 {method 'dump' of '_pickle.Pickler' objects}
       72    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
