         21933 function calls (21722 primitive calls) in 55.201 seconds

   Ordered by: internal time
   List reduced from 671 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18   53.746    2.986   53.746    2.986 {method 'poll' of 'select.poll' objects}
       28    1.415    0.051    1.415    0.051 {built-in method posix.waitpid}
     25/4    0.004    0.000    0.019    0.005 {built-in method builtins.exec}
        8    0.003    0.000    0.003    0.000 {built-in method _posixsubprocess.fork_exec}
       16    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
       21    0.002    0.000    0.003    0.000 {method 'dump' of '_pickle.Pickler' objects}
       72    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
        6    0.001    0.000    0.001    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1338(_add_slots)
       16    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        8    0.001    0.000    0.008    0.001 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:986(_process_class)
        4    0.000    0.000    0.003    0.001 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/enum.py:881(_convert_)
       69    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        4    0.000    0.000    0.001    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/enum.py:1741(convert_class)
      2/1    0.000    0.000   55.176   55.176 {method 'join' of '_thread._ThreadHandle' objects}
      180    0.000    0.000    0.001    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:766(_is_type)
       18    0.000    0.000   53.748    2.986 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/connection.py:1176(wait)
        1    0.000    0.000   54.595   54.595 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/concurrent/futures/_base.py:257(wait)
       51    0.000    0.000    0.000    0.000 {built-in method posix.close}
     1353    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      810    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        4    0.000    0.000    0.000    0.000 {built-in method _pickle.loads}
        7    0.000    0.000    0.006    0.001 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/multiprocessing/popen_spawn_posix.py:38(_launch)
       16    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
       60    0.000    0.000    0.001    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:825(_get_field)
