         112591335 function calls (110385972 primitive calls) in 56.463 seconds

   Ordered by: cumulative time
   List reduced from 1631 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   59.709   59.709 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_solver.py:6327(lay_out)
        1    0.000    0.000   53.024   53.024 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_solver.py:1245(search)
        2    0.006    0.003   53.023   26.512 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_solver.py:1746(_run_discovery)
        2    0.017    0.008   40.201   20.100 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_solver.py:2193(_route_annealed)
        2    0.000    0.000   40.183   20.092 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_solver.py:2304(_route_archive)
        2    0.000    0.000   22.699   11.350 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_solver.py:1163(_run_detailed_route)
        2    0.004    0.002   22.551   11.275 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_solver.py:5440(detailed_route)
        2    0.016    0.008   22.546   11.273 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_solver.py:4726(_route_detailed_candidate)
        2    0.003    0.002   22.530   11.265 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/freeform.py:17465(_build_prepared)
  651/638    0.018    0.000   21.486    0.034 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/scripts/route_profile.py:361(shim)
        2    0.003    0.001   20.780   10.390 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/scripts/route_profile.py:223(route_all)
        2    0.032    0.016   20.777   10.389 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/freeform.py:9166(_route_all)
        2    0.000    0.000   17.467    8.734 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_solver.py:5353(prepare)
        2    0.000    0.000   17.467    8.734 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_solver.py:5255(prepare_candidate)
        2    0.023    0.011   17.463    8.731 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/freeform.py:16147(_prepare_routing_problem)
        5    0.007    0.001   13.379    2.676 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/scripts/route_profile.py:254(commit)
        5    0.695    0.139   13.372    2.674 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/freeform.py:12104(_commit_paths)
