         112591335 function calls (110385972 primitive calls) in 56.463 seconds

   Ordered by: internal time
   List reduced from 1631 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      731    3.143    0.004    5.507    0.008 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/freeform.py:13040(_tap_source)
      754    3.025    0.004    3.943    0.005 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/freeform.py:8098(_astar)
   449059    2.710    0.000    5.007    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1782(_replace)
 15205619    2.170    0.000    2.170    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/dsp/catalog.py:234(is_belt)
     6988    1.513    0.000    1.884    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/freeform.py:5782(junction_is_clear)
        2    1.437    0.718    4.635    2.318 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/freeform.py:14576(_projected_coater_junction_bans_by_frame)
4863263/2831537    1.425    0.000    2.265    0.000 {built-in method builtins.hash}
  4792198    1.152    0.000    1.536    0.000 {method 'get' of 'dict' objects}
        2    1.029    0.515    3.153    1.576 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/freeform.py:15044(_power_plan)
      735    0.933    0.001    1.042    0.001 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/freeform.py:12602(_splitter_successors)
  7095654    0.925    0.000    0.925    0.000 {built-in method builtins.getattr}
   798065    0.849    0.000    6.274    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/freeform.py:1673(__call__)
   744558    0.804    0.000    1.291    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_pair.py:277(<genexpr>)
  1128327    0.766    0.000    1.253    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_pair.py:151(variant)
