         48638371 function calls (45622009 primitive calls) in 22.901 seconds

   Ordered by: cumulative time
   List reduced from 1522 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   24.481   24.481 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_solver.py:6327(lay_out)
        1    0.000    0.000   21.300   21.300 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_solver.py:1245(search)
        2    0.002    0.001   21.299   10.650 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_solver.py:1746(_run_discovery)
        2    0.011    0.005   15.023    7.512 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_solver.py:2193(_route_annealed)
        2    0.000    0.000   15.012    7.506 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_solver.py:2304(_route_archive)
  255/247    0.008    0.000    8.847    0.036 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/scripts/route_profile.py:361(shim)
        2    0.000    0.000    6.521    3.261 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_solver.py:1163(_run_detailed_route)
        2    0.000    0.000    6.428    3.214 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_solver.py:5440(detailed_route)
        2    0.002    0.001    6.428    3.214 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_solver.py:4726(_route_detailed_candidate)
        2    0.000    0.000    6.425    3.213 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/freeform.py:17465(_build_prepared)
        2    0.016    0.008    6.274    3.137 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_solver.py:2128(_anneal_restarts)
        2    0.001    0.000    6.263    3.132 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/scripts/route_profile.py:223(route_all)
        2    0.017    0.009    6.262    3.131 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/freeform.py:9166(_route_all)
        4    0.000    0.000    6.120    1.530 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_solver.py:5353(prepare)
        4    0.000    0.000    6.120    1.530 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_solver.py:5255(prepare_candidate)
        4    0.039    0.010    6.120    1.530 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_pair.py:1608(anneal_stage)
        4    0.015    0.004    6.107    1.527 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/freeform.py:16147(_prepare_routing_problem)
     8004    0.578    0.000    3.957    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_kernel.py:149(score_state)
        1    0.001    0.001    3.182    3.182 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_solver.py:4769(_production_run)
        4    0.643    0.161    3.027    0.757 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/freeform.py:15044(_power_plan)
      693    0.008    0.000    2.590    0.004 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/scripts/route_profile.py:179(astar)
      693    1.567    0.002    2.580    0.004 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/freeform.py:8098(_astar)
