         48638371 function calls (45622009 primitive calls) in 22.901 seconds

   Ordered by: internal time
   List reduced from 1522 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      693    1.567    0.002    2.580    0.004 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/freeform.py:8098(_astar)
4494497/1495328    1.415    0.000    2.316    0.000 {built-in method builtins.hash}
  3621102    0.647    0.000    1.005    0.000 {method 'get' of 'dict' objects}
        4    0.643    0.161    3.027    0.757 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/freeform.py:15044(_power_plan)
     8004    0.578    0.000    3.957    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_kernel.py:149(score_state)
    62278    0.543    0.000    1.029    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/dataclasses.py:1782(_replace)
   730703    0.522    0.000    0.852    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_pair.py:151(variant)
   440220    0.500    0.000    0.800    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_pair.py:277(<genexpr>)
3974394/3974389    0.440    0.000    0.440    0.000 {built-in method builtins.len}
  1715026    0.416    0.000    0.620    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_solver.py:4795(deadline_reached)
      240    0.415    0.002    2.222    0.009 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/global_router.py:503(_search_relaxed)
     2085    0.386    0.000    2.526    0.001 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/freeform.py:3306(_direct_net_candidates)
  1528021    0.347    0.000    0.498    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_pair.py:147(size)
     8004    0.344    0.000    1.365    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_pair.py:267(__post_init__)
        8    0.272    0.034    0.758    0.095 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/dsp/colliders.py:1742(_belt_overlap_candidates)
   239430    0.271    0.000    1.594    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/global_router.py:79(present_cost)
     4075    0.265    0.000    0.361    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/freeform.py:5782(junction_is_clear)
86126/84966    0.261    0.000    0.539    0.000 {built-in method builtins.min}
   256256    0.233    0.000    0.499    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_pair.py:1160(_validate_direct_target)
   479898    0.229    0.000    1.252    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/global_router.py:83(<genexpr>)
   190386    0.215    0.000    0.410    0.000 <string>:18(__eq__)
180335/178163    0.210    0.000    0.343    0.000 {built-in method builtins.max}
  1506384    0.208    0.000    0.208    0.000 {built-in method builtins.getattr}
  1296648    0.206    0.000    0.206    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_pair.py:280(<genexpr>)
  1717653    0.204    0.000    0.204    0.000 {built-in method time.monotonic}
   790152    0.203    0.000    0.308    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/enum.py:1300(__hash__)
   146141    0.202    0.000    0.307    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/dsp/colliders.py:1418(sphere_box_overlap)
  1359555    0.199    0.000    0.199    0.000 {method 'append' of 'list' objects}
      578    0.195    0.000    0.516    0.001 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/finalize.py:858(first_projected_static_failure)
     2111    0.186    0.000    0.370    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/dsp/colliders.py:1064(collisions)
   526711    0.184    0.000    0.630    0.000 <string>:45(__hash__)
        8    0.171    0.021    0.659    0.082 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/finalize.py:2968(__init__)
   570256    0.167    0.000    0.247    0.000 <string>:39(__hash__)
    15459    0.165    0.000    0.356    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_pair.py:40(validate)
   153433    0.160    0.000    0.221    0.000 {built-in method builtins.sorted}
       32    0.155    0.005    0.339    0.011 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/finalize.py:3089(_ordered_coordinates)
