tier	kind	label	target	target_tier	rate_per_min	policy	proliferator_mark	url
0	building	T0/building/arc-smelter@1/no-proliferator	arc-smelter	0	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=arc-smelter*1&v=11
0	building	T0/building/assembling-machine-1@1/no-proliferator	assembling-machine-1	0	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=assembling-machine-1*1&v=11
0	building	T0/building/conveyor-belt-1@1/no-proliferator	conveyor-belt-1	0	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=conveyor-belt-1*1&v=11
0	building	T0/building/matrix-lab@1/no-proliferator	matrix-lab	0	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=matrix-lab*1&v=11
0	building	T0/building/mining-machine@1/no-proliferator	mining-machine	0	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=mining-machine*1&v=11
0	building	T0/building/sorter-1@1/no-proliferator	sorter-1	0	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=sorter-1*1&v=11
0	building	T0/building/storage-1@1/no-proliferator	storage-1	0	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=storage-1*1&v=11
0	building	T0/building/tesla-tower@1/no-proliferator	tesla-tower	0	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=tesla-tower*1&v=11
0	building	T0/building/wind-turbine@1/no-proliferator	wind-turbine	0	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=wind-turbine*1&v=11
0	matrix	T0/matrix/electromagnetic-matrix@60/no-proliferator	electromagnetic-matrix	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=electromagnetic-matrix*60&v=11
0	matrix10x	T0/matrix10x/electromagnetic-matrix@600/no-proliferator	electromagnetic-matrix	0	600	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=electromagnetic-matrix*600&v=11
0	component	T0/component/circuit-board@60/no-proliferator	circuit-board	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=circuit-board*60&v=11
0	component	T0/component/coal@60/no-proliferator	coal	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=coal*60&v=11
0	component	T0/component/copper-ingot@60/no-proliferator	copper-ingot	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=copper-ingot*60&v=11
0	component	T0/component/copper-ore@60/no-proliferator	copper-ore	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=copper-ore*60&v=11
