url_id,candidate,item,src_group,dest_group,domain,n_src,n_sink,per_lane,src_tiles,src_widths,sink_widths,offends
universe-matrix,no-proliferator,antimatter,mass-energy-storage#23,universe-matrix#37,unsprayed,1,15,15,10,"[10]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",YES
universe-matrix,no-proliferator,carbon-nanotube,carbon-nanotube#0,particle-broadband#25,unsprayed,1,1,1,16,"[16]","[24]",no
universe-matrix,no-proliferator,casimir-crystal,casimir-crystal#1,plane-filter#27,unsprayed,1,2,2,12,"[12]","[16, 16]",no
universe-matrix,no-proliferator,circuit-board,circuit-board#2,electromagnetic-matrix#9,unsprayed,1,1,1,12,"[12]","[18]",no
universe-matrix,no-proliferator,circuit-board,circuit-board#2,processor#30,unsprayed,1,1,1,12,"[12]","[24]",no
universe-matrix,no-proliferator,copper-ingot,copper-ingot#3,circuit-board#2,unsprayed,1,1,1,12,"[12]","[12]",no
universe-matrix,no-proliferator,copper-ingot,copper-ingot#3,magnetic-coil#22,unsprayed,1,2,2,12,"[12]","[4, 8]",no
universe-matrix,no-proliferator,copper-ingot,copper-ingot#3,microcrystalline-component#24,unsprayed,1,2,2,12,"[12]","[16, 16]",no
universe-matrix,no-proliferator,copper-ingot,copper-ingot#3,particle-container#26,unsprayed,1,1,1,12,"[12]","[12]",no
universe-matrix,no-proliferator,critical-photon,critical-photon#4,mass-energy-storage#23,unsprayed,2,1,1,45,"[45, 45]","[10]",no
universe-matrix,no-proliferator,crystal-silicon,crystal-silicon#5,particle-broadband#25,unsprayed,1,1,1,6,"[6]","[24]",no
universe-matrix,no-proliferator,deuterium,deuterium#6,strange-matter#32,unsprayed,1,1,1,30,"[30]","[40]",no
universe-matrix,no-proliferator,diamond,diamond#7,graviton-lens#16,unsprayed,1,1,1,9,"[9]","[8]",no
universe-matrix,no-proliferator,diamond,diamond#7,structure-matrix#33,unsprayed,1,2,2,9,"[9]","[24, 24]",no
universe-matrix,no-proliferator,electric-motor,electric-motor#8,electromagnetic-turbine#10,unsprayed,1,1,1,24,"[24]","[12]",no
universe-matrix,no-proliferator,electromagnetic-matrix,electromagnetic-matrix#9,universe-matrix#37,unsprayed,1,15,15,18,"[18]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",no
universe-matrix,no-proliferator,electromagnetic-turbine,electromagnetic-turbine#10,particle-container#26,unsprayed,1,1,1,12,"[12]","[12]",no
universe-matrix,no-proliferator,energetic-graphite,energetic-graphite#11,diamond#7,unsprayed,1,1,1,18,"[18]","[9]",no
universe-matrix,no-proliferator,energetic-graphite,energetic-graphite#11,energy-matrix#12,unsprayed,1,1,1,18,"[18]","[36]",no
universe-matrix,no-proliferator,energetic-graphite,energetic-graphite#11,graphene#15,unsprayed,2,1,1,15,"[15, 18]","[48]",no
universe-matrix,no-proliferator,energetic-graphite,energetic-graphite#11,plastic#29,unsprayed,2,1,1,15,"[15, 18]","[16]",no
universe-matrix,no-proliferator,energy-matrix,energy-matrix#12,universe-matrix#37,unsprayed,1,15,15,36,"[36]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",no
universe-matrix,no-proliferator,gear,gear#13,electric-motor#8,unsprayed,1,1,1,12,"[12]","[24]",no
universe-matrix,no-proliferator,glass,glass#14,titanium-glass#35,unsprayed,1,1,1,6,"[6]","[16]",no
universe-matrix,no-proliferator,graphene,graphene#15,carbon-nanotube#0,unsprayed,1,1,1,48,"[48]","[16]",no
universe-matrix,no-proliferator,graphene,graphene#15,casimir-crystal#1,unsprayed,1,1,1,48,"[48]","[12]",no
universe-matrix,no-proliferator,graphene,graphene#15,particle-container#26,unsprayed,1,1,1,48,"[48]","[12]",no
universe-matrix,no-proliferator,graviton-lens,graviton-lens#16,gravity-matrix#17,unsprayed,1,2,2,8,"[8]","[36, 36]",no
universe-matrix,no-proliferator,gravity-matrix,gravity-matrix#17,universe-matrix#37,unsprayed,2,15,8,36,"[36, 36]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",no
universe-matrix,no-proliferator,high-purity-silicon,high-purity-silicon#18,crystal-silicon#5,unsprayed,3,1,1,12,"[12, 15, 15]","[6]",no
universe-matrix,no-proliferator,high-purity-silicon,high-purity-silicon#18,microcrystalline-component#24,unsprayed,3,2,1,12,"[12, 15, 15]","[16, 16]",no
universe-matrix,no-proliferator,hydrogen,mass-energy-storage#23,casimir-crystal#1,unsprayed,1,1,1,10,"[10]","[12]",no
universe-matrix,no-proliferator,hydrogen,mass-energy-storage#23,deuterium#6,unsprayed,1,1,1,10,"[10]","[30]",no
universe-matrix,no-proliferator,hydrogen,mass-energy-storage#23,energy-matrix#12,unsprayed,1,1,1,10,"[10]","[36]",no
universe-matrix,no-proliferator,hydrogen,plasma-refining#28,casimir-crystal#1,unsprayed,1,1,1,14,"[14]","[12]",no
universe-matrix,no-proliferator,hydrogen,plasma-refining#28,deuterium#6,unsprayed,1,1,1,14,"[14]","[30]",no
universe-matrix,no-proliferator,hydrogen,plasma-refining#28,energy-matrix#12,unsprayed,1,1,1,14,"[14]","[36]",no
universe-matrix,no-proliferator,information-matrix,information-matrix#19,universe-matrix#37,unsprayed,2,15,8,30,"[30, 30]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",no
universe-matrix,no-proliferator,iron-ingot,iron-ingot#20,circuit-board#2,unsprayed,2,1,1,9,"[9, 12]","[12]",no
universe-matrix,no-proliferator,iron-ingot,iron-ingot#20,electric-motor#8,unsprayed,2,1,1,9,"[9, 12]","[24]",no
universe-matrix,no-proliferator,iron-ingot,iron-ingot#20,gear#13,unsprayed,1,1,1,9,"[9]","[12]",no
universe-matrix,no-proliferator,iron-ingot,iron-ingot#20,strange-matter#32,unsprayed,1,1,1,9,"[9]","[40]",no
universe-matrix,no-proliferator,magnet,magnet#21,magnetic-coil#22,unsprayed,2,2,1,9,"[9, 12]","[4, 8]",no
universe-matrix,no-proliferator,magnetic-coil,magnetic-coil#22,electric-motor#8,unsprayed,1,1,1,8,"[8]","[24]",no
universe-matrix,no-proliferator,magnetic-coil,magnetic-coil#22,electromagnetic-matrix#9,unsprayed,1,1,1,8,"[8]","[18]",no
universe-matrix,no-proliferator,magnetic-coil,magnetic-coil#22,electromagnetic-turbine#10,unsprayed,1,1,1,4,"[4]","[12]",no
universe-matrix,no-proliferator,microcrystalline-component,microcrystalline-component#24,processor#30,unsprayed,2,1,1,16,"[16, 16]","[24]",no
universe-matrix,no-proliferator,particle-broadband,particle-broadband#25,information-matrix#19,unsprayed,1,2,2,24,"[24]","[30, 30]",no
universe-matrix,no-proliferator,particle-container,particle-container#26,strange-matter#32,unsprayed,1,1,1,12,"[12]","[40]",no
universe-matrix,no-proliferator,plane-filter,plane-filter#27,quantum-chip#31,unsprayed,2,1,1,16,"[16, 16]","[8]",no
universe-matrix,no-proliferator,plastic,plastic#29,particle-broadband#25,unsprayed,1,1,1,16,"[16]","[24]",no
universe-matrix,no-proliferator,processor,processor#30,information-matrix#19,unsprayed,1,2,2,24,"[24]","[30, 30]",no
universe-matrix,no-proliferator,processor,processor#30,quantum-chip#31,unsprayed,1,1,1,24,"[24]","[8]",no
